experiment,scenario,N,selector,baseline,n_pairs,mean_gain,gain_ci_low,gain_ci_high,wins,losses,ties,win_rate,sign_test_p,paired_effect_size
A_controlled_object_binding,occlusion,2,property_calibrated,raw,16,0.011528938337447595,-0.011067780803949689,0.03412565747884488,1,0,15,0.0625,1.0,0.25
A_controlled_object_binding,occlusion,4,property_calibrated,raw,16,-0.00443457334888131,-0.07011258337860503,0.06124343668084241,4,2,10,0.25,0.6875,-0.03308475606932122
A_controlled_object_binding,occlusion,8,property_calibrated,raw,16,0.023593300007710056,-0.00625275540664804,0.05343935542206815,4,1,11,0.25,0.375,0.387344888404127
A_controlled_object_binding,occlusion,16,property_calibrated,raw,16,0.0450933087436107,-0.007740483744246636,0.09792710123146803,5,1,10,0.3125,0.21875,0.4182119102929711
A_controlled_object_binding,occlusion,32,property_calibrated,raw,16,0.02195204789808402,-0.0020424571172357707,0.04594655291340381,4,1,11,0.25,0.375,0.44829028409602345
A_controlled_object_binding,occlusion,64,property_calibrated,raw,16,-0.010483791536907294,-0.03103202294924559,0.010064439875431002,0,1,15,0.0,1.0,-0.25
A_controlled_object_binding,raw,1,property_calibrated,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,raw,2,property_calibrated,raw,16,0.011836371059230603,-0.05189074279024776,0.07556348490870897,3,2,11,0.1875,1.0,0.09101026970595295
A_controlled_object_binding,raw,4,property_calibrated,raw,16,-0.001009366752874958,-0.030954856624958182,0.028936123119208266,1,2,13,0.0625,1.0,-0.016516333879373676
A_controlled_object_binding,raw,8,property_calibrated,raw,16,-0.02349938549892199,-0.06749675154153267,0.020497980543688697,1,3,12,0.0625,0.625,-0.2617133690075899
A_controlled_object_binding,raw,16,property_calibrated,raw,16,0.015475239900902436,-0.008428315641134396,0.03937879544293927,2,0,14,0.125,0.5,0.31722759980652043
A_controlled_object_binding,raw,32,property_calibrated,raw,16,0.009372753463419058,-0.0034099459455922427,0.022155452872430356,2,1,13,0.125,1.0,0.3592863330446229
A_controlled_object_binding,raw,64,property_calibrated,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,swap,1,property_calibrated,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,swap,2,property_calibrated,raw,16,0.005822685009407649,-0.005589777609031343,0.017235147627846642,1,0,15,0.0625,1.0,0.25
A_controlled_object_binding,swap,4,property_calibrated,raw,16,-0.01917600401854194,-0.05676097189488413,0.01840896385780026,0,1,15,0.0,1.0,-0.25
A_controlled_object_binding,swap,8,property_calibrated,raw,16,0.06324638831260831,0.020348499525094016,0.10614427710012261,8,2,6,0.5,0.109375,0.7224301975951348
A_controlled_object_binding,swap,16,property_calibrated,raw,16,0.07797370179239557,0.031047127463321944,0.1249002761214692,11,0,5,0.6875,0.0009765625,0.8141892823956338
A_controlled_object_binding,swap,32,property_calibrated,raw,16,0.06831860673095719,0.016086013926756466,0.12055119953515792,8,1,7,0.5,0.0390625,0.6409047589051861
A_controlled_object_binding,swap,64,property_calibrated,raw,16,-0.011989829267457798,-0.058899945126437876,0.03492028659152228,3,3,10,0.1875,1.0,-0.1252398599635873
A_controlled_object_binding,good,1,random,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,good,2,random,raw,16,0.008340056565707903,-0.025138421252770562,0.04181853438418637,5,2,9,0.3125,0.453125,0.12206730961170689
A_controlled_object_binding,good,4,random,raw,16,0.1427188916775289,-0.012002431782126066,0.2974402151371839,8,6,2,0.5,0.79052734375,0.45198848716043105
A_controlled_object_binding,good,8,random,raw,16,0.10088561287621206,-0.013344259996492233,0.21511548574891637,12,3,1,0.75,0.03515625,0.4327585163684128
A_controlled_object_binding,good,16,random,raw,16,0.06298745213545648,-0.025566451709373522,0.15154135598028648,10,5,1,0.625,0.3017578125,0.3485318004777672
